ASIN	ASIN Description	GL CODE	Produce Group Label	Category Code	Category Label	Subcategory Code	Subcategory Label	Brand Name	Item Name
B00JN9J5BY	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Friskies Party Mix Puffs Cat Treats, Turf-N-Surf'S Up, Lobster, Steak & Shrimp Flavors, 2.1-Ounce Pouch, Pack Of 10
B00JN9J654	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Friskies Party Mix Puffs Cat Treats, Island Delight, Scallops, Shrimp & Tuna Flavors, 2.1-Ounce Pouch, Pack Of 10
B00JN9JEJC	199>19900100>19900102	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900102	0102 Dog Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food Variety Pack, Tasty Treasures Prime Filets - (24) 5.5 oz. Cans
B00JT3TS98	199>19900100>19900125	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900125	0125 CPB Cat Wet Food	Purina Friskies	Purina Friskies Pate Wet Cat Food, Ocean Whitefish & Tuna Dinner - (12) 13 oz. Cans
B00JT3U5GI	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Fish A Licious Variety Pack - 32x5.5 oz (050000294527)
B00KRENE8Y	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Friskies Party Mix Cat Treats, Original Crunch, 16-Ounce Pouch, Pack Of 1
B00LCS45D2	199>19900100>19900102	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900102	0102 Dog Wet Food	Purina Friskies	Purina Friskies Seafood Feast Variety Classic For Cats (36 Ct 3 Flavors)
B00RVMMHLA	199>19900100>19900107	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900107	0107 Cat Dry Food	Purina Friskies	Purina Friskies 7 Cat Food - (1) 16 Lb. Bag
B00RVMMMMY	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food, Tasty Treasures Chicken & Tuna Dinner Accented With Bacon - (24) 5.5 oz. Cans
B00RVMMN0A	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food, Tasty Treasures Chicken Dinner Accented With Bacon - (24) 5.5 oz. Cans
B00RVMMN3C	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food, Tasty Treasures Turkey Dinner Accented With Bacon - (24) 5.5 oz. Cans
B00RVMMPJE	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Wet Cat Food, Tasty Treasures With Ocean Fish in Sauce Accented With Bacon - (24) 5.5 oz. Cans
B00RVMMS1E	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Friskies Party Mix Remix Wild West Dreamin, 2.1-Ounce, Pack Of 10
B00SN3FNQM	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Party Mix Crunch Wild West Adult Cat Treats - (4) 10 Oz. Pouches
B00SN3FNXK	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Made in USA Facilities Cat Treats; Party Mix California Crunch With Chicken - 10 oz. Pouch
B00SN3FNZI	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Party Mix Morning Munch Cat Treats - (4) 10 Oz. Pouches
B00TEFKXM2	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Tasty Treasures Chicken With Bacon, 24 By 5.5 Oz.
B00YGXO4MC	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Pull 'N Play Tuna & Crab Flavors Cat Treats - (10) 2 Ct. Pouches
B00YGXO580	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Pull 'N Play Salmon & Shrimp Flavors Cat Treats - (10) 2 Ct. Pouches
B00YGXO5FI	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Pull 'N Play Tender Strings Chicken & Cheese Flavors Cat Treats - (10) 2 Ct. Pouches
B00YX3HZDU	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Friskies Cat Treats, Pull 'N Play, Toy And Treat Combo
B0197UIFUK	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Made in USA Facilities Cat Treats; Party Mix Original Crunch - 20 oz. Canister
B0197UIFZU	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Made in USA Facilities Cat Treats, Party Mix Beachside Crunch - 20 oz. Canister
B0197UIG4A	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Made in USA Facilities Cat Treats; Party Mix Treasure Crunch - 20 oz. Canister
B0197UIG68	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Party Mix Favorites, Terrific Turkey Flavor, 20-Ounce Canister, Pack Of 1
B0197UIGE0	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Party Mix Favorites, Slammin' Salmon Flavor, 20-Ounce Canister, Pack Of 1
B0197UIGEU	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Made in USA Cat Treats; Party Mix Chicken Lovers Crunch - 20 oz. Canister
B0197UIK1E	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Made in USA Facilities Cat Treats; Party Mix Kahuna Crunch - 20 oz. Canister
B01ALI3SLI	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Pate Wet Cat Food; Cat Concoctions Scrumptious Salmon & Chicken Liver Dinner - 5.5 oz. Can
B01ALI3SPE	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Wet Cat Food; Cat Concoctions With Cod in Cheesy Bacon Flavored Sauce - 5.5 oz. 24 Can
